Name,Age,Gender,Admission Test Score,High School Percentage,City,Admission Status
Shehroz,24.0,Female,50.0,68.9,Quetta,Rejected
Waqar,21.0,Female,99.0,60.73,Karachi,
Bushra,17.0,Male,89.0,,Islamabad,Accepted
Aliya,17.0,Male,55.0,85.29,Karachi,Rejected
Bilal,20.0,Male,65.0,61.13,Lahore,
Murtaza,23.0,Female,,,Islamabad,Accepted
Asad,18.0,Male,,97.31,Multan,Accepted
Rabia,20.0,Female,82.0,55.67,Lahore,Accepted
Rohail,17.0,Male,64.0,,Karachi,Accepted
Kamran,18.0,Male,53.0,98.98,Multan,Rejected
Shafiq,17.0,Male,78.0,-10,Quetta,Rejected
Nashit,18.0,Male,89.0,,Lahore,Accepted
,19.0,Male,66.0,88.17,,
Ahmed,21.0,Male,62.0,79.03,Karachi,Accepted
Fareeha,22.0,Male,86.0,50.77,Islamabad,Rejected
Saim,19.0,Male,84.0,97.19,Peshawar,Rejected
Mahnoor,,Male,61.0,74.08,Islamabad,Rejected
Uzma,17.0,Female,96.0,93.34,Karachi,Rejected
Maryam,19.0,Female,74.0,70.26,Lahore,Accepted
,19.0,Male,84.0,,Islamabad,Rejected
Waqar,22.0,Male,77.0,94.02,Peshawar,Rejected
Fatima,,Female,79.0,73.23,Quetta,Rejected
Kamran,18.0,Male,53.0,98.98,Multan,Rejected
Aliya,-1.0,Male,101,54.59,,
,21.0,Male,82.0,97.21,Karachi,Rejected
Shayan,18.0,Male,,,Lahore,Rejected
Imran,20.0,Female,76.0,69.27,Peshawar,Rejected
Anum,20.0,Female,96.0,62.44,Quetta,Rejected
Bushra,17.0,Male,89.0,78.57,Islamabad,Accepted
Laiba,22.0,Female,57.0,,Rawalpindi,Accepted
Ali,17.0,Male,74.0,56.38,Rawalpindi,Rejected
Rehan,19.0,Female,-5,61.91,Quetta,Rejected
Zara,24.0,Female,65.0,91.14,Multan,Rejected
Fatima,24.0,Female,66.0,74.8,Peshawar,Rejected
Shayan,24.0,Male,58.0,85.41,Multan,Rejected
Feroze,23.0,Female,51.0,92.36,,Accepted
Ayesha,24.0,Male,94.0,98.43,Multan,Rejected
Lubna,21.0,Female,89.0,82.57,Multan,Rejected
Ali,17.0,,74.0,56.38,Rawalpindi,Rejected
Aliya,23.0,Male,50.0,85.25,Rawalpindi,Accepted
Rohail,23.0,,78.0,75.05,Quetta,
Feroze,22.0,Female,50.0,88.36,Quetta,Rejected
Wajeeha,21.0,Male,63.0,74.83,Islamabad,Accepted
Waqar,21.0,Female,99.0,60.73,Karachi,Accepted
Maham,19.0,Female,52.0,78.67,Multan,Accepted
Qasim,17.0,Female,95.0,68.89,Quetta,Rejected
Mehwish,24.0,Female,84.0,94.33,Multan,Accepted
Maryam,19.0,Female,74.0,110.5,Lahore,Accepted
Rohail,23.0,Female,,75.05,Quetta,Accepted
Zara,18.0,Female,68.0,65.57,Karachi,Rejected
Shehroz,-1.0,Female,61.0,69.48,Quetta,Rejected
Fatima,20.0,Male,73.0,62.5,Karachi,
Ahmed,21.0,Male,62.0,79.03,Karachi,Accepted
Afshan,23.0,,98.0,76.97,,Rejected
Shehroz,22.0,Female,72.0,97.84,Lahore,Rejected
Sara,19.0,Male,68.0,93.16,Multan,Accepted
Zara,18.0,Male,52.0,91.02,Multan,Accepted
Hafsa,23.0,Female,79.0,52.39,,Accepted
Adeel,20.0,Female,70.0,93.36,Lahore,Accepted
Bilal,23.0,Female,97.0,70.9,Peshawar,Rejected
Rohail,19.0,Female,54.0,52.79,Quetta,Accepted
Hamza,22.0,Male,99.0,86.58,Multan,Accepted
Fahad,23.0,Male,93.0,90.35,Peshawar,Accepted
Farhan,20.0,Female,75.0,79.59,Rawalpindi,Accepted
Shoaib,23.0,Male,97.0,54.71,Karachi,Rejected
,17.0,Female,71.0,54.16,Islamabad,Rejected
Hassan,24.0,Female,79.0,75.67,,
Khurram,17.0,Male,,0,Rawalpindi,
Maryam,22.0,Female,,69.83,Karachi,Rejected
Tuba,17.0,Female,75.0,78.43,Peshawar,Accepted
Hafsa,17.0,Male,73.0,63.7,Rawalpindi,Accepted
Laiba,20.0,Male,77.0,52.67,Islamabad,Rejected
,21.0,Male,95.0,84.2,Islamabad,
Shafiq,18.0,,80.0,81.3,Quetta,Accepted
Afshan,23.0,Female,98.0,,Peshawar,Rejected
Kamran,21.0,Male,73.0,96.67,Peshawar,Rejected
Sajjad,,,90.0,63.04,Quetta,Accepted
Tuba,18.0,Female,89.0,71.3,Karachi,Accepted
Kashif,20.0,Female,91.0,91.03,Karachi,Accepted
Muneera,19.0,Female,81.0,67.75,Karachi,Rejected
Mehwish,18.0,Female,72.0,67.51,Quetta,Accepted
Lubna,,Female,89.0,82.57,Multan,Rejected
Muzammil,24.0,Female,97.0,62.68,Lahore,Accepted
Muzammil,20.0,Male,96.0,51.95,Peshawar,Rejected
Maryam,,Female,99.0,94.59,Islamabad,Accepted
Maham,22.0,Female,88.0,98.38,Peshawar,Rejected
Uzma,22.0,Male,69.0,83.99,Quetta,Accepted
Laiba,,Female,81.0,81.82,Rawalpindi,Accepted
Aliya,17.0,Male,55,85.29,Karachi,Rejected
,-1.0,Male,66.0,79.07,Rawalpindi,Rejected
Maryam,17.0,Male,78.0,77.4,Quetta,Accepted
Umar,22.0,Male,150,77.69,,Rejected
,20.0,Female,86.0,89.06,Karachi,Accepted
Rehan,22.0,Male,51.0,67.03,Lahore,Rejected
Farzana,22.0,Male,82.0,78.3,Multan,Accepted
Nida,18.0,,84.0,91.92,Quetta,Rejected
Muneera,19.0,Female,,67.75,Karachi,Rejected
Rohail,20.0,Female,72.0,66.83,Multan,Rejected
Shehroz,23.0,Female,82.0,83.86,Karachi,Rejected
Imran,19.0,Female,72.0,64.88,Multan,Accepted
Farhan,22.0,Female,65.0,76.72,Multan,Rejected
Shehroz,24.0,Male,72.0,90.05,Karachi,Accepted
Asma,22.0,Female,81.0,68.86,Islamabad,Accepted
Tariq,19.0,Female,96.0,40.7,Rawalpindi,Rejected
Sara,22.0,,95.0,60.33,Islamabad,Rejected
Junaid,17.0,Male,56.0,93.36,Karachi,Rejected
Mehwish,21.0,Female,91.0,57.33,Rawalpindi,Accepted
Zunaira,20.0,Female,98.0,54.59,Quetta,Accepted
Hania,24.0,Female,83.0,97.93,Quetta,Rejected
Mehwish,18.0,Female,72.0,67.51,,Accepted
Hamza,22.0,Male,99.0,86.58,Multan,Accepted
Adeel,24.0,Male,71.0,74.65,Lahore,Accepted
Tariq,17.0,Female,82.0,67.09,Peshawar,Accepted
Zunaira,-1.0,Female,84.0,58.77,Quetta,Rejected
Qasim,17.0,,92.0,51.96,Lahore,Accepted
Maham,23.0,Male,94.0,87.05,Karachi,Rejected
Aqsa,23.0,Female,,86.5,Quetta,Accepted
Daniyal,24.0,Female,77.0,67.32,Quetta,Rejected
Lubna,22.0,Male,74.0,90.56,Rawalpindi,Accepted
Junaid,23.0,Female,94.0,61.93,Peshawar,Accepted
Ayesha,24.0,Male,94.0,98.43,Multan,Rejected
Muneera,23.0,Male,77.0,57.93,Karachi,Rejected
Tuba,17.0,Female,75.0,78.43,Peshawar,Accepted
Bushra,18.0,Female,93.0,99.8,Islamabad,Rejected
Hania,,Female,83.0,71.78,Islamabad,Accepted
Hania,18.0,Female,,61.83,,Accepted
Feroze,17.0,Male,91.0,71.17,Karachi,Rejected
Hassan,24.0,,79.0,75.67,Karachi,Accepted
Zunaira,19.0,Female,75.0,63.03,Peshawar,Rejected
Aliya,19.0,Male,79.0,91.85,Islamabad,Rejected
Asad,20.0,Female,51.0,,Peshawar,Rejected
Shafiq,17.0,Male,78.0,82.49,Quetta,Rejected
Maaz,20.0,Male,58.0,96.83,Peshawar,Accepted
Ali,20.0,Male,71.0,80.91,Lahore,Rejected
Shahzad,24.0,Female,74.0,74.13,Multan,Rejected
Hafsa,,Male,55.0,97.46,Quetta,Rejected
Asad,,Female,82.0,67.42,Lahore,Accepted
Asad,21.0,Male,,97.21,Karachi,Rejected
Qasim,23.0,Female,83.0,66.51,Quetta,Accepted
Shehroz,19.0,Male,,56.43,Rawalpindi,
Feroze,23.0,Female,51.0,92.36,Rawalpindi,Accepted
Laiba,21.0,Female,76.0,,Karachi,Rejected
Sana,22.0,Female,91.0,84.08,Quetta,Rejected
Zarina,19.0,Female,81.0,71.72,Quetta,Rejected
Sana,21.0,Female,53.0,,Rawalpindi,Rejected
,23.0,Female,93.0,98.71,Karachi,Accepted
Nimra,17.0,Female,68.0,61.66,,Rejected
Hammad,24.0,Female,71.0,83.84,Lahore,Accepted
,24.0,Female,50.0,87.0,Peshawar,Accepted
,21.0,,86.0,95.38,Quetta,Accepted
Nashit,,Male,89.0,84.64,Lahore,Accepted
Asad,20.0,Female,95.0,52.4,Rawalpindi,Rejected
Ali,19.0,Female,85.0,78.09,Quetta,Accepted
Bilal,17.0,Female,81.0,84.4,Islamabad,Rejected
Fatima,21.0,Female,98.0,50.86,Multan,Accepted
Shoaib,-1.0,Male,91.0,80.12,Quetta,Accepted
Maaz,17.0,Male,88.0,86.85,Lahore,Accepted
Hina,22.0,Female,72.0,81.45,Karachi,Accepted
Faraz,19.0,Male,58.0,74.22,Lahore,Rejected
Sadia,18.0,Female,91.0,,Islamabad,Accepted
Imran,20.0,Male,,67.89,Quetta,Rejected
Ayesha,17.0,Female,84.0,92.11,Multan,Accepted
Tariq,23.0,Male,47.0,55.34,Karachi,Rejected
Nimra,21.0,Female,95.0,88.76,Lahore,Accepted
Hamza,18.0,Male,62.0,,Islamabad,Rejected
Kiran,19.0,Female,,79.45,Quetta,Accepted
Usman,22.0,Male,73.0,64.12,Multan,
Laiba,17.0,Female,88.0,90.55,Karachi,Accepted
Zain,20.0,Male,54.0,58.33,Lahore,Rejected
Maria,18.0,Female,99.0,,Islamabad,Accepted
Rehan,21.0,Male,69.0,72.44,Quetta,Rejected
Sarmad,23.0,Male,,83.29,Multan,Accepted
Adeel,18.0,Male,72.0,81.22,Karachi,Accepted
Maliha,19.0,Female,88.0,79.11,Lahore,Rejected
Shayan,20.0,Male,,67.45,Islamabad,Accepted
Rida,17.0,Female,91.0,,Quetta,Accepted
Furqan,22.0,Male,54.0,58.90,Multan,Rejected
Sehrish,21.0,Female,77.0,92.34,Karachi,Accepted
Hassan,23.0,Male,63.0,71.56,Lahore,
Iqra,18.0,Female,85.0,88.12,Islamabad,Accepted
Talha,19.0,Male,49.0,52.78,Quetta,Rejected
Nimra,17.0,Female,,95.44,Multan,Accepted
Ahsan,20.0,Male,68.0,,Karachi,Rejected
Sahar,18.0,Female,93.0,90.01,Lahore,Accepted
Danish,22.0,Male,57.0,66.73,Islamabad,Rejected
Mehak,21.0,Female,74.0,82.19,Quetta,Accepted
Rafay,19.0,Male,88.0,77.45,Multan,Accepted
Sonia,18.0,Female,69.0,,Karachi,Rejected
Zubair,23.0,Male,,59.33,Lahore,Rejected
Hoorain,17.0,Female,95.0,93.88,Islamabad,Accepted
Ammar,20.0,Male,61.0,72.44,Quetta,Accepted
Nadia,21.0,Female,83.0,89.12,Multan,
Yasir,22.0,Male,52.0,54.67,Karachi,Rejected
Areeba,18.0,Female,97.0,,Lahore,Accepted
Sameer,19.0,Male,66.0,78.55,Islamabad,Accepted
Hiba,17.0,Female,72.0,80.33,Quetta,Rejected
Arsalan,20.0,Male,59.0,61.12,Multan,Rejected
Sumbal,21.0,Female,,87.90,Karachi,Accepted
Noman,23.0,Male,71.0,75.22,Lahore,Accepted
Aqsa,18.0,Female,84.0,91.44,Islamabad,Accepted
Rehan,19.0,Male,48.0,,Quetta,Rejected
Mariam,17.0,Female,92.0,94.55,Multan,Accepted
Shahzaib,20.0,Male,64.0,69.88,Karachi,Rejected
Anum,21.0,Female,89.0,88.01,Lahore,Accepted
Owais,22.0,Male,,57.44,Islamabad,Rejected
Hafsa,18.0,Female,75.0,83.29,Quetta,Accepted
Junaid,19.0,Male,62.0,70.11,Multan,Rejected
Ayesha,17.0,Female,98.0,,Karachi,Accepted
Faizan,20.0,Male,55.0,63.77,Lahore,Rejected
Sadia,21.0,Female,87.0,90.66,Islamabad,Accepted
Moiz,22.0,Male,73.0,79.88,Quetta,
Laiba,18.0,Female,94.0,92.55,Multan,Accepted
Hamid,19.0,Male,60.0,,Karachi,Rejected
Zoya,17.0,Female,96.0,95.12,Lahore,Accepted
Adnan,20.0,Male,58.0,62.44,Islamabad,Rejected
Hania,21.0,Female,,89.77,Quetta,Accepted
Sikandar,23.0,Male,70.0,74.33,Multan,Accepted
Eman,18.0,Female,82.0,,Karachi,Accepted
Shiraz,19.0,Male,51.0,53.90,Lahore,Rejected
Mishal,17.0,Female,90.0,91.22,Islamabad,Accepted
Adeel,20.0,,72.0,81.22,,Rejected
Maliha,19.0,Female,88.0,79.11,Lahore,
Shayan,20.0,Male,,67.45,Islamabad,Accepted
Rida,17.0,Female,91.0,,Quetta,Accepted
Furqan,22.0,Male,54.0,58.90,Multan,Rejected
Sehrish,21.0,Female,77.0,92.34,Karachi,Accepted
Hassan,23.0,Male,63.0,71.56,Lahore,
Iqra,18.0,Female,85.0,88.12,,Accepted
Talha,19.0,Male,49.0,52.78,Quetta,Rejected
Nimra,17.0,Female,,95.44,Multan,Accepted
Ahsan,20.0,Male,68.0,,Karachi,Rejected
Sahar,18.0,Female,93.0,90.01,Lahore,Accepted
Danish,22.0,Male,57.0,66.73,Islamabad,Rejected
Mehak,21.0,Female,74.0,82.19,Quetta,Accepted
Rafay,19.0,Male,88.0,77.45,Multan,Accepted
Sonia,18.0,Female,69.0,,Karachi,Rejected
Zubair,23.0,Male,,59.33,Lahore,Rejected
Hoorain,17.0,Female,95.0,93.88,Islamabad,Accepted
Ammar,20.0,Male,61.0,72.44,Quetta,Accepted
Nadia,21.0,Female,83.0,89.12,Multan,
Yasir,22.0,Male,52.0,54.67,Karachi,Rejected
Areeba,18.0,Female,97.0,,Lahore,Accepted
Sameer,19.0,Male,66.0,78.55,Islamabad,Accepted
Hiba,17.0,Female,72.0,80.33,Quetta,Rejected
Arsalan,20.0,Male,59.0,61.12,Multan,Rejected
Sumbal,21.0,Female,,87.90,Karachi,Accepted
Noman,23.0,Male,71.0,75.22,Lahore,Accepted
Aqsa,18.0,Female,84.0,91.44,Islamabad,Accepted
Rehan,19.0,Male,48.0,,Quetta,Rejected
Mariam,17.0,Female,92.0,94.55,Multan,Accepted
Shahzaib,20.0,Male,64.0,69.88,Karachi,Rejected
Anum,21.0,Female,89.0,88.01,Lahore,Accepted
Owais,22.0,Male,,57.44,Islamabad,Rejected
Hafsa,18.0,Female,75.0,83.29,Quetta,Accepted
Junaid,19.0,Male,62.0,70.11,Multan,Rejected
Ayesha,17.0,Female,98.0,,Karachi,Accepted
Faizan,20.0,Male,55.0,63.77,Lahore,Rejected
Sadia,21.0,Female,87.0,90.66,Islamabad,Accepted
Moiz,22.0,Male,73.0,79.88,Quetta,
Laiba,18.0,Female,94.0,92.55,Multan,Accepted
Hamid,19.0,Male,60.0,,Karachi,Rejected
Zoya,17.0,Female,96.0,95.12,Lahore,Accepted
Adnan,20.0,Male,58.0,62.44,Islamabad,Rejected
Hania,21.0,Female,,89.77,Quetta,Accepted
Sikandar,23.0,Male,70.0,74.33,Multan,Accepted
Eman,18.0,Female,82.0,,Karachi,Accepted
Shiraz,19.0,Male,51.0,53.90,Lahore,Rejected
Mishal,17.0,Female,90.0,91.22,Islamabad,Accepted
Adeel,22.0,Male,74.0,82.11,Karachi,Rejected
Maliha,18.0,Female,,79.55,Lahore,Accepted
Shayan,21.0,,67.0,58.44,Islamabad,Rejected
Rida,19.0,Female,92.0,101.2,Quetta,Accepted
Furqan,20.0,Male,53.0,,Multan,Rejected
Sehrish,23.0,Female,78.0,92.01,,Accepted
Hassan,24.0,Male,64.0,71.22,Lahore,Rejected
Iqra,17.0,Female,86.0,88.45,Islamabad,
Talha,18.0,Male,48.0,52.11,Quetta,Rejected
Nimra,20.0,Female,99.0,,Multan,Accepted
Ahsan,21.0,Male,,60.44,Karachi,Rejected
Sahar,19.0,Female,94.0,90.55,Lahore,Accepted
Danish,23.0,Male,58.0,66.12,Islamabad,Rejected
Mehak,22.0,Female,75.0,82.77,Quetta,Accepted
Rafay,18.0,Male,87.0,77.01,Multan,Accepted
Sonia,19.0,Female,70.0,,Karachi,Rejected
Zubair,24.0,Male,101.0,59.88,Lahore,Rejected
Hoorain,18.0,Female,96.0,93.44,Islamabad,Accepted
Ammar,21.0,Male,62.0,72.01,Quetta,Accepted
Nadia,22.0,Female,,89.55,Multan,Rejected
Yasir,23.0,Male,53.0,54.11,Karachi,Rejected
Areeba,19.0,Female,98.0,,Lahore,Accepted
Sameer,20.0,Male,67.0,78.12,Islamabad,Accepted
Hiba,18.0,Female,73.0,80.01,Quetta,Rejected
Arsalan,21.0,Male,60.0,61.44,Multan,Rejected
Sumbal,22.0,Female,100.0,88.01,Karachi,Accepted
Noman,24.0,Male,72.0,75.01,Lahore,Accepted
Aqsa,19.0,Female,85.0,91.01,Islamabad,Accepted
Rehan,20.0,Male,49.0,,Quetta,Rejected
Mariam,18.0,Female,93.0,94.11,Multan,Accepted
Shahzaib,21.0,Male,65.0,69.44,Karachi,Rejected
Anum,22.0,Female,90.0,88.44,Lahore,Accepted
Owais,23.0,Male,,57.01,Islamabad,Rejected
Hafsa,19.0,Female,76.0,83.01,Quetta,Accepted
Junaid,20.0,Male,63.0,70.44,Multan,Rejected
Ayesha,18.0,Female,99.0,,Karachi,Accepted
Faizan,21.0,Male,56.0,63.44,Lahore,Rejected
Sadia,22.0,Female,88.0,90.22,Islamabad,Accepted
Moiz,23.0,Male,74.0,79.44,Quetta,
Laiba,19.0,Female,95.0,92.11,Multan,Accepted
Hamid,20.0,Male,61.0,,Karachi,Rejected
Zoya,18.0,Female,97.0,95.44,Lahore,Accepted
Adnan,21.0,Male,59.0,62.11,Islamabad,Rejected
Hania,22.0,Female,,89.44,Quetta,Accepted
Sikandar,24.0,Male,71.0,74.01,Multan,Accepted
Eman,19.0,Female,83.0,,Karachi,Accepted
Shiraz,20.0,Male,52.0,53.44,Lahore,Rejected
Mishal,18.0,Female,91.0,91.01,Islamabad,Accepted
Adeel,21.0,Male,72.0,82.55,Karachi,Rejected
Maliha,20.0,Female,87.0,,Lahore,Accepted
Shayan,18.0,Male,66.0,57.44,Islamabad,Rejected
Rida,19.0,Female,92.0,102.3,Quetta,Accepted
Furqan,23.0,Male,55.0,59.12,Multan,
Sehrish,22.0,Female,78.0,91.77,Karachi,Accepted
Hassan,24.0,Male,,70.44,Lahore,Rejected
Iqra,17.0,Female,86.0,87.99,Islamabad,Accepted
Talha,20.0,Male,47.0,51.88,Quetta,Rejected
Nimra,18.0,Female,100.0,,Multan,Accepted
Ahsan,21.0,Male,69.0,60.12,Karachi,Rejected
Sahar,19.0,Female,94.0,89.77,Lahore,Accepted
Danish,24.0,Male,58.0,65.55,Islamabad,Rejected
Mehak,22.0,Female,75.0,81.99,Quetta,Accepted
Rafay,20.0,Male,87.0,76.55,Multan,Accepted
Sonia,19.0,Female,70.0,,Karachi,Rejected
Zubair,24.0,Male,102.0,58.77,Lahore,Rejected
Hoorain,18.0,Female,96.0,92.88,Islamabad,Accepted
Ammar,21.0,Male,62.0,71.55,Quetta,Accepted
Nadia,22.0,Female,,88.99,Multan,Rejected
Yasir,23.0,Male,53.0,53.77,Karachi,Rejected
